time,Time,pH,T,DO,F,G,Q,L,A,P
116,515,7.007446537,36.66743597,0.388920278,0.022594685,604.933836,49.03464166,90.21272782,9.01015374,45.10636391
117,516,7.007446537,36.66743597,0.388920278,0.022594685,605.2878521,49.07893782,89.5712068,8.972679147,44.7856034
118,517,7.007446537,36.66743597,0.388920278,0.022594685,605.6395984,49.1228087,88.93347469,8.935564724,44.46673735
119,518,7.007446537,36.66743597,0.388920278,0.022594685,605.9888566,49.16624889,88.29999851,8.898816135,44.14999925
120,519,7.007446537,36.66743597,0.388920278,0.022594685,606.3357868,49.20926236,87.67043579,8.862429225,43.83521789
121,520,7.007446537,36.66743597,0.388920278,0.022594685,606.6803968,49.25185069,87.04477343,8.82640264,43.52238671
122,521,7.007446537,36.66743597,0.388920278,0.022594685,607.0226565,49.29402336,86.42310378,8.79072862,43.21155189
123,522,7.007446537,36.66743597,0.388920278,0.022594685,607.3624112,49.33576829,85.80573566,8.755418055,42.90286783
124,523,7.007446537,36.66743597,0.388920278,0.022594685,607.699608,49.37708443,85.19278322,8.720472084,42.59639161
125,524,7.007446537,36.66743597,0.388920278,0.022594685,608.0341939,49.41797077,84.5843606,8.685891845,42.2921803
126,525,7.007446537,36.66743597,0.388920278,0.022594685,608.366116,49.45842625,83.98058193,8.651678477,41.99029096
127,526,7.007446537,36.66743597,0.388920278,0.022594685,608.6953213,49.49844985,83.38156136,8.617833119,41.69078068
128,527,7.007446537,36.66743597,0.388920278,0.022594685,609.021757,49.53804053,82.78741302,8.584356908,41.39370651
129,528,7.007446537,36.66743597,0.388920278,0.022594685,609.3453701,49.57719725,82.19825107,8.551250983,41.09912553
130,529,7.007446537,36.66743597,0.388920278,0.022594685,609.6661075,49.61591899,81.61418963,8.518516483,40.80709482
131,530,7.007446537,36.66743597,0.388920278,0.022594685,609.9839165,49.65420471,81.03534285,8.486154546,40.51767143
132,531,7.007446537,36.66743597,0.388920278,0.022594685,610.2989544,49.69206573,80.46139672,8.454154991,40.23069836
